cycle,time,domain,code_chars,avg_score,distilled,fail,source
128,,软件加密,2350,,0,,file
129,,高级开发指南-HTML入门,1077,,0,,file
130,,HttpClient,793,,0,,file
131,,Table,244,,0,,file
132,,高级开发指南-客户端类,4208,,0,,file
133,,分级数据,813,,0,,file
134,,统计与查询,786,,0,,file
135,,软件加密,1480,,0,,file
136,,附录,0,,0,,file
137,,本地WEB,2520,,0,,file
138,,异步编程,1806,,0,,file
139,,大模型API,1945,,0,,file
140,,生成图表,1207,,0,,file
141,,统计与查询,365,,0,,file
142,,WordCreator,872,,0,,file
143,,高级开发指南-微信接口,2343,,0,,file
144,,高级开发指南-异步编程,611,,0,,file
145,,DataTable,0,4.8,0,,恢复
146,,二进制列,0,9.2,0,,恢复
147,,菜单设计,0,9.4,0,,恢复
148,,用Excel报表生成网页,0,,0,无分数,恢复
149,,用Excel报表生成网页,0,6.8,0,,恢复
150,,事件编程,0,,0,无分数,恢复
151,,软件加密,0,0.0,0,,恢复
152,,OpenQQ,0,6.8,0,,恢复
153,,窗口设计,0,9.4,0,,恢复
154,,附录,0,7.2,0,,恢复
158,,PDFCreator,0,7.8,0,,恢复
160,2026-08-15 12:43:08,分级数据,1451,4.2,3,,stdout
161,2026-08-15 12:56:41,开发杂项-基础篇,997,4.2,3,,stdout
162,2026-08-15 13:09:40,高级开发指南-客户端类,500,1.8,3,,stdout
163,2026-08-15 13:24:41,软件加密,1203,7.6,3,,stdout
164,2026-08-15 13:32:05,本地WEB,500,2.0,5,,stdout
165,2026-08-15 13:47:19,权限管理,1078,8.0,3,,stdout
177,2026-08-15 14:43:49,本地WEB,0,,0,LLM 回复为空,log
178,2026-08-15 15:02:41,PDFCreator,0,,0,,log
122,,分级数据（验证）,774,,0,,file
155,,JSON相关（验证轮1·旧代码）,0,2.6,0,,恢复
156,,DataTable（验证轮1）,0,9.6,0,,恢复
157,,HttpClient（验证轮1）,0,6.4,0,,恢复
159,,JSON相关（验证轮2）,0,6.6,0,,恢复
166,,高级开发指南-Web数据源（验证）,2405,,0,,file
167,,高级开发指南-异步编程（验证）,1389,,0,,file
168,,生成图表（验证）,1609,,0,,file
169,,高级开发指南-用Excel报表生成网页（验证）,0,,0,,file
170,,高级开发指南-微信接口（验证）,3036,,0,,file
171,,OpenQQ（验证）,0,,0,,file
172,,高级开发指南-用Excel报表生成网页（验证）,2158,,0,,file
173,,高级开发指南-用Excel报表生成网页（验证）,2556,,0,,file
174,,高级开发指南-微信接口（验证）,0,,0,,file
175,,OpenQQ（验证）,1232,,0,,file
176,,高级开发指南-微信接口（验证）,4110,,0,,file
